year_month,survey_organization,approve_percent,disapprove_percent
2009-01,ABC/Post,80.0,15.0
2009-01,AP-GFK,74.0,15.0
2009-01,CNN,84.0,14.0
2009-01,Democracy Corps (D),51.0,20.0
2009-01,Diageo/Hotline,64.0,6.5
2009-01,FOX,64.5,16.0
2009-01,Gallup,66.0,17.0
2009-01,Harris (Phone),60.0,29.0
2009-01,NBC/WSJ,71.0,14.0
2009-01,Pew,70.0,18.0
2009-01,Rasmussen,62.0,36.0
2009-01,USA Today/Gallup,73.5,18.5
2009-01,Zogby (Internet),55.0,32.5
2009-02,ABC/Post,68.0,25.0
2009-02,AP-GFK,67.0,24.0
2009-02,ARG,56.5,36.0
2009-02,CBS News,59.0,13.5
2009-02,CBS/Times,57.5,26.0
2009-02,CNN,71.5,26.0
2009-02,Cook/RT,54.0,29.0
2009-02,Democracy Corps (D),54.5,27.5
2009-02,Diageo/Hotline,67.0,26.0
2009-02,FOX,61.0,22.5
2009-02,Gallup,63.0,23.0
2009-02,InsiderAdvantage,54.0,42.0
2009-02,Ipsos/McClatchy,69.0,26.0
2009-02,NBC/WSJ,60.0,26.0
2009-02,NCSC,65.0,18.0
2009-02,Pew,63.5,15.5
2009-02,Quinnipiac,56.0,25.5
2009-02,Rasmussen,60.0,39.0
2009-02,USA Today/Gallup,62.0,29.0
2009-03,ABC/Post,66.0,29.0
2009-03,ARG,51.5,41.5
2009-03,CBS News,61.0,21.0
2009-03,CNN,64.0,34.0
2009-03,Democracy Corps (D),53.5,37.0
2009-03,Diageo/Hotline,63.0,30.5
2009-03,FOX,59.5,29.0
2009-03,Gallup,62.0,27.5
2009-03,Harris (Internet),53.0,47.0
2009-03,Ipsos/McClatchy,65.0,29.0
2009-03,NPR,59.0,35.0
2009-03,Newsweek,54.5,27.5
2009-03,PPP (D),48.0,43.5
2009-03,Pew,58.0,26.5
2009-03,Quinnipiac,57.0,31.5
2009-03,Rasmussen,56.0,43.0
2009-03,USA Today/Gallup,64.0,30.0
2009-03,YouGov/Economist,53.5,36.0
2009-03,Zogby (Internet),50.5,48.0
2009-04,ABC/Post,68.0,27.0
2009-04,AP-GFK,64.0,30.0
2009-04,ARG,55.0,39.5
2009-04,Allstate/National Journal,61.0,28.0
2009-04,CBS/Times,65.5,24.0
2009-04,CNN,64.5,31.5
2009-04,Cook/RT,57.5,30.0
2009-04,Diageo/Hotline,55.0,35.0
2009-04,FOX,59.5,29.0
2009-04,Gallup,63.0,28.0
2009-04,Harris (Internet),58.0,42.0
2009-04,Ipsos/McClatchy,63.0,31.0
2009-04,Marist College,54.5,30.0
2009-04,NBC/WSJ,61.0,30.0
2009-04,PPP (D),53.5,39.5
2009-04,Pew,60.5,26.5
2009-04,Public Opinion Strategies (R),63.0,32.0
2009-04,Quinnipiac,55.5,31.5
2009-04,Rasmussen,55.0,44.0
2009-04,Resurgent Republic (R),60.0,32.0
2009-04,SurveyUSA,58.0,38.0
2009-04,YouGov/Economist,55.5,39.0
2009-04,Zogby (Internet),53.0,46.0
2009-05,AP-GFK,64.0,32.0
2009-05,ARG,59.0,37.0
2009-05,CBS News,61.0,27.0
2009-05,CNN,64.0,32.0
2009-05,Democracy Corps (D),58.0,33.5
2009-05,FOX,58.5,30.0
2009-05,Gallup,64.0,28.5
2009-05,Harris (Internet),58.0,42.0
2009-05,Moore (R),60.0,30.0
2009-05,PPP (D),55.0,37.0
2009-05,Quinnipiac,58.0,30.5
2009-05,Rasmussen,57.0,42.0
2009-05,USA Today/Gallup,61.0,34.0
2009-05,YouGov/Economist,56.0,38.0
2009-05,Zogby (Internet),51.0,50.0
2009-06,ABC/Post,65.0,31.5
2009-06,ARG,52.0,44.5
2009-06,CBS/Times,60.5,25.5
2009-06,CNN,61.0,37.0
2009-06,Democracy Corps (D),53.0,37.5
2009-06,Diageo/Hotline,64.0,32.5
2009-06,FOX,64.0,28.5
2009-06,Gallup,60.0,32.0
2009-06,Harris (Internet),50.5,49.5
2009-06,Ipsos/McClatchy,64.0,32.0
2009-06,Marist College,53.5,32.0
2009-06,NBC/WSJ,56.0,34.0
2009-06,PPP (D),49.0,45.5
2009-06,Pew,58.5,29.5
2009-06,Quinnipiac,54.5,35.0
2009-06,Rasmussen,54.5,45.0
2009-06,YouGov/Economist,53.5,39.5
2009-06,Zogby (Internet/Phone),51.0,42.0
2009-07,ABC/Post,59.0,37.0
2009-07,AP-GFK,55.0,42.0
2009-07,ARG,49.0,48.0
2009-07,Allstate/National Journal,56.0,36.0
2009-07,CBS News,53.5,33.0
2009-07,CBS/Times,55.0,31.5
2009-07,CNN,56.0,40.0
