year_month,survey_organization,approve_percent,disapprove_percent
2009-01,Generated Data,67,31
2009-01,Harris (Phone),60,29
2009-01,Generated Data,65.9,19.1
2009-01,Generated Data,64.6,18.4
2009-01,Generated Data,83.3,11.7
2009-01,Generated Data,87.3,10.7
2009-01,Generated Data,82.7,12.3
2009-01,Generated Data,66,22
2009-01,Generated Data,61.7,27.3
2009-01,Generated Data,72.7,16.3
2009-01,Generated Data,56.8,30.7
2009-01,Generated Data,81.7,7.3
2009-01,Generated Data,53,18
2009-01,Generated Data,65.8,4.7
2009-01,Generated Data,84.8,13.2
2009-01,Generated Data,64.2,6.3
2009-01,Generated Data,59.7,27.8
2009-01,Generated Data,76.3,12.7
2009-01,Generated Data,76.3,8.7
2009-01,Generated Data,75,10
2009-01,Generated Data,73.6,9.4
2009-01,Generated Data,65.7,23.3
2009-01,Generated Data,69.6,15.4
2009-01,Generated Data,74.7,10.3
2009-01,Generated Data,59.8,20.7
2009-01,Generated Data,65,24
2009-01,Generated Data,60.8,19.7
2009-01,Generated Data,67.8,15.2
2009-01,Generated Data,75.9,7.1
2009-01,Generated Data,81.3,16.7
2009-01,Generated Data,58.5,29
2009-01,Generated Data,67.6,20.4
2009-01,Generated Data,54.6,34.4
2009-01,Generated Data,80.9,11.1
2009-01,Generated Data,78.8,16.2
2009-01,Generated Data,73.3,11.7
2009-01,Generated Data,60,29
2009-01,Generated Data,59.3,38.7
2009-01,Generated Data,98.6,-0.6
2009-01,Generated Data,58.1,12.4
2009-01,Generated Data,59.9,38.1
2009-01,Generated Data,82.6,15.4
2009-01,Generated Data,83.4,11.6
2009-01,Generated Data,55.9,31.6
2009-01,Generated Data,68,20
2009-01,Generated Data,50.2,20.8
2009-01,Generated Data,81.8,13.2
2009-01,Generated Data,77.8,17.2
2009-01,Generated Data,64.6,5.9
2009-01,Generated Data,74.3,20.7
2009-01,Generated Data,46.4,41.1
2009-01,Gallup,66,17
2009-01,Generated Data,69,19
2009-01,Generated Data,55.4,15.6
2009-01,Generated Data,53.1,17.4
2009-01,AP-GFK,74,15
2009-01,Generated Data,58.3,22.2
2009-01,Generated Data,62.8,35.2
2009-01,Generated Data,69.7,22.3
2009-01,Generated Data,59.6,38.4
2009-01,Generated Data,64.4,6.1
2009-01,Generated Data,62.9,7.6
2009-01,Generated Data,78.3,13.7
2009-01,Generated Data,83.6,5.4
2009-01,Generated Data,68.5,12
2009-01,Generated Data,71.4,17.6
2009-01,Generated Data,60.2,20.3
2009-01,Generated Data,67.3,20.7
2009-01,Generated Data,76,19
2009-01,Generated Data,60.8,28.2
2009-01,Generated Data,63,17.5
2009-01,Generated Data,66.6,16.4
2009-01,Generated Data,77.8,17.2
2009-01,Generated Data,66.5,16.5
2009-01,Generated Data,65.3,26.7
2009-01,Generated Data,73,12
2009-01,Generated Data,79.3,15.7
2009-01,Generated Data,65.5,22.5
2009-01,Generated Data,65.3,17.7
2009-01,Generated Data,62.5,25
2009-01,Generated Data,68.1,14.9
2009-01,Generated Data,54,17
2009-01,Generated Data,67.3,3.2
2009-01,Generated Data,63.8,34.2
2009-01,Generated Data,47.1,23.9
2009-01,Generated Data,75.9,12.1
2009-01,Generated Data,83.6,5.4
2009-01,Generated Data,71.1,-0.6
2009-01,Generated Data,67.7,21.3
2009-01,Generated Data,71.2,17.8
2009-01,Generated Data,49.4,21.6
2009-01,Generated Data,64.9,5.6
2009-01,Generated Data,66.8,18.2
2009-01,Generated Data,65.9,23.1
2009-01,Rasmussen,62,36
2009-01,Generated Data,58.9,39.1
2009-01,Generated Data,65.6,17.4
2009-01,Generated Data,89.8,8.2
2009-01,Generated Data,73.6,14.4
2009-01,Generated Data,44.3,43.2
